Phase,Avg_ms,StdDev_ms,Max_ms,Min_ms,Total_ms,Calls
Compute Growth (Moore's Law),0.13,0.05,0.27,0.03,6.7,50
Apply Scenario Priorities,0.01,0.00,0.03,0.01,0.6,50
Organization Turns,0.66,0.19,1.22,0.42,33.1,50
AI Welfare Update v2.1,0.07,0.04,0.27,0.04,3.6,50
Triggered Events,0.00,0.00,0.02,0.00,0.2,50
Compute Allocation,0.13,0.04,0.34,0.07,6.7,50
AI Alignment Evolution,0.36,0.11,0.59,0.18,18.2,50
AI Population Lifecycle,1.74,0.82,5.01,0.99,86.9,50
AI Suffering Calculation,0.19,0.06,0.36,0.11,9.3,50
Survival Traits,0.11,0.03,0.18,0.07,5.3,50
Evolutionary Selection,0.09,0.03,0.27,0.06,4.3,50
Bifurcation Logic,0.04,0.02,0.14,0.03,2.0,50
Cybersecurity Breaches,0.05,0.02,0.10,0.03,2.5,50
Sleeper Agent Wake Check,0.01,0.02,0.17,0.01,0.7,50
AI Agent Actions,51.25,10.87,90.70,21.19,2562.4,50
War-Meaning Feedback,0.10,0.03,0.25,0.07,4.9,50
Climate Justice,0.12,0.04,0.25,0.09,5.9,50
Player Decision Processing,0.01,0.01,0.02,0.00,0.4,50
Government Agent Actions,0.43,0.34,1.19,0.05,21.3,50
Governance System Update,0.14,0.46,3.34,0.05,7.2,50
AI Coordination & Transition Mortality,0.02,0.02,0.10,0.02,1.2,50
Society Agent Actions,0.03,0.01,0.08,0.02,1.7,50
Technology Tree Update,10.70,2.06,19.26,7.05,535.1,50
Cooperative Systems Update,0.35,0.09,0.72,0.22,17.3,50
TIER 2: Social Systems,0.02,0.02,0.08,0.01,0.8,50
Climate Technology Deployment,0.02,0.00,0.04,0.02,1.0,50
Meaning Renaissance Update,0.05,0.02,0.16,0.04,2.6,50
Stochastic Innovation Breakthroughs,0.03,0.03,0.14,0.01,1.3,50
TIER 2: AI Governance,0.03,0.03,0.11,0.01,1.7,50
National AI Update,0.24,0.07,0.54,0.16,11.9,50
Antimicrobial Resistance,0.08,0.02,0.14,0.05,4.0,50
Extreme Weather Events,0.07,0.17,1.20,0.02,3.7,50
Enhanced UBI Update,0.01,0.00,0.02,0.01,0.5,50
Social Safety Nets Update,0.01,0.00,0.02,0.00,0.3,50
Climate Deployment Delay,0.03,0.01,0.10,0.02,1.4,50
Resource Economy Update,0.19,0.03,0.29,0.15,9.4,50
AI-Assisted Skills Metrics,0.06,0.02,0.17,0.05,3.2,50
Resentment Recovery,0.19,0.14,0.65,0.08,9.5,50
Memetic Evolution,0.31,0.11,0.62,0.18,15.5,50
Social Influence Update,7.12,8.77,25.78,0.06,355.8,50
Quality of Life Systems,0.20,0.06,0.39,0.14,10.1,50
Nitrogen-Food Coupling,0.07,0.03,0.16,0.04,3.5,50
Nuclear Command & Control,0.03,0.01,0.08,0.01,1.4,50
Defensive AI Update,0.04,0.01,0.08,0.02,2.2,50
