Scenario,Abundance%,Cognitive%,Democratic%,Scientific%,Meaning%,Ecological%,Cooperative%,TippingPoint%,TotalSpirals
Scientific Acceleration,0,0,0,0,0,0,0,0,0.00
Equality First,0,0,0,0,0,0,0,0,0.00
Climate First,0,0,0,0,0,0,0,0,0.00
